Area,death_number,pdeath_number,Areacode,Population,Male,pMale,Female,pFemale,White,pWhite,Black,pBlack,Asian,pAsian,Household1-4,pH1-4,Household5ormore,p5_abv,Workfromhome,pWFH,Publictransport,pPublicT,Privatetravel,pPrivT,Workingage,pWorkage,Retirementage,pRetage
Staffordshire Moorlands,369,0.38,E07000198,97106,47790,49.21,49316,50.79,95825,98.68,120,0.12,502,0.52,39743,40.93,2029,2.09,3213,3.31,4262,4.39,39879,41.07,58327,60.07,20381,20.99
Stevenage,199,0.24,E07000243,83957,41483,49.41,42474,50.59,73598,87.66,2836,3.38,4848,5.77,32497,38.71,2401,2.86,1426,1.7,8449,10.06,32662,38.9,52695,62.76,11872,14.14
Stockport,944,0.33,E08000007,283275,138400,48.86,144875,51.14,260819,92.07,1958,0.69,13762,4.86,114747,40.51,7232,2.55,7234,2.55,24786,8.75,104410,36.86,171626,60.59,51027,18.01
Stockton-on-Tees,636,0.33,E06000004,191610,94082,49.1,97528,50.9,181299,94.62,1133,0.59,6632,3.46,74211,38.73,4948,2.58,2847,1.49,13185,6.88,70072,36.57,119384,62.31,29951,15.63
Stoke-on-Trent,965,0.39,E06000021,249008,123995,49.8,125013,50.2,220712,88.64,3741,1.5,18442,7.41,100795,40.48,6780,2.72,2691,1.08,20169,8.1,84688,34.01,155591,62.48,38818,15.59
Stratford-on-Avon,329,0.27,E07000221,120485,58497,48.55,61988,51.45,117307,97.36,264,0.22,1466,1.22,49332,40.94,2596,2.15,6059,5.03,5183,4.3,49207,40.84,70526,58.54,26580,22.06
Stroud,292,0.26,E07000082,112779,55514,49.22,57265,50.78,110426,97.91,260,0.23,751,0.67,44922,39.83,2872,2.55,4908,4.35,5152,4.57,46984,41.66,67219,59.6,21977,19.49
Sunderland,"1,098",0.4,E08000024,275506,133953,48.62,141553,51.38,264282,95.93,1273,0.46,7336,2.66,113682,41.26,6076,2.21,3071,1.11,29445,10.69,87994,31.94,173768,63.07,46793,16.98
Surrey Heath,270,0.31,E07000214,86144,42868,49.76,43276,50.24,77692,90.19,861,1,5389,6.26,31124,36.13,2422,2.81,3453,4.01,5428,6.3,35705,41.45,52609,61.07,14405,16.72
Sutton,576,0.3,E09000029,190146,92443,48.62,97703,51.38,149449,78.6,9120,4.8,22035,11.59,72389,38.07,5785,3.04,4309,2.27,35650,18.75,57162,30.06,119828,63.02,27233,14.32
Swale,533,0.39,E07000113,135835,67152,49.44,68683,50.56,131155,96.55,1395,1.03,1489,1.1,51740,38.09,3845,2.83,3165,2.33,9385,6.91,49902,36.74,82252,60.55,22623,16.65
Swindon,439,0.21,E06000030,209156,104618,50.02,104538,49.98,187898,89.84,2861,1.37,13365,6.39,82865,39.62,5495,2.63,4353,2.08,18148,8.68,86446,41.33,133779,63.96,28854,13.8
Tameside,904,0.41,E08000008,219324,107650,49.08,111674,50.92,199429,90.93,1784,0.81,14553,6.64,89213,40.68,5740,2.62,3402,1.55,21723,9.9,76268,34.77,136628,62.3,34201,15.59
Tamworth,279,0.36,E07000199,76813,37694,49.07,39119,50.93,74761,97.33,393,0.51,763,0.99,29612,38.55,2005,2.61,1249,1.63,5243,6.83,31617,41.16,48301,62.88,11144,14.51
Tandridge,276,0.33,E07000215,82998,40158,48.38,42840,51.62,77880,93.83,882,1.06,2164,2.61,31108,37.48,2234,2.69,3581,4.31,10230,12.33,27723,33.4,49314,59.42,15355,18.5
Teignbridge,254,0.2,E07000045,124220,60179,48.45,64041,51.55,122163,98.34,117,0.09,893,0.72,51243,41.25,2760,2.22,4888,3.93,6203,4.99,47509,38.25,71694,57.72,29016,23.36
Telford and Wrekin,421,0.25,E06000020,166641,82549,49.54,84092,50.46,154415,92.66,1779,1.07,6991,4.2,61435,36.87,5173,3.1,3139,1.88,11465,6.88,63357,38.02,103676,62.22,24089,14.46
Tendring,760,0.55,E07000076,138048,66071,47.86,71977,52.14,134667,97.55,434,0.31,1275,0.92,58772,42.57,3333,2.41,3046,2.21,7511,5.44,43904,31.8,74842,54.21,37273,27
Test Valley,262,0.23,E07000093,116398,56880,48.87,59518,51.13,111645,95.92,487,0.42,2368,2.03,44736,38.43,2890,2.48,4050,3.48,6770,5.82,48357,41.54,69966,60.11,21397,18.38
Tewkesbury,202,0.25,E07000083,81943,40080,48.91,41863,51.09,79901,97.51,255,0.31,901,1.1,33223,40.54,1903,2.32,2903,3.54,4146,5.06,34302,41.86,48913,59.69,16509,20.15
Thanet,588,0.44,E07000114,134186,64555,48.11,69631,51.89,128194,95.53,910,0.68,2504,1.87,56009,41.74,3504,2.61,2940,2.19,9929,7.4,41969,31.28,76670,57.14,28413,21.17
Three Rivers,281,0.32,E07000102,87317,42371,48.53,44946,51.47,75294,86.23,1610,1.84,7993,9.15,32535,37.26,2573,2.95,3072,3.52,10054,11.51,30655,35.11,52780,60.45,14706,16.84
Thurrock,594,0.38,E06000034,157705,77823,49.35,79882,50.65,135429,85.87,12323,7.81,5927,3.76,57264,36.31,5089,3.23,2258,1.43,20994,13.31,53763,34.09,99269,62.95,20021,12.7
Tonbridge and Malling,281,0.23,E07000115,120805,59207,49.01,61598,50.99,115872,95.92,421,0.35,2431,2.01,44777,37.07,3363,2.78,3768,3.12,11520,9.54,44415,36.77,71750,59.39,20427,16.91
Torbay,333,0.25,E06000027,130959,63110,48.19,67849,51.81,127699,97.51,251,0.19,1353,1.03,55983,42.75,3027,2.31,3494,2.67,6925,5.29,46040,35.16,75316,57.51,30854,23.56
Torridge,136,0.21,E07000046,63839,31167,48.82,32672,51.18,63021,98.72,51,0.08,271,0.42,26423,41.39,1563,2.45,3493,5.47,2572,4.03,23099,36.18,36784,57.62,14978,23.46
Tower Hamlets,489,0.19,E09000030,254096,130906,51.52,123190,48.48,114819,45.19,18629,7.33,104501,41.13,88834,34.96,12423,4.89,4447,1.75,71237,28.04,44137,17.37,183430,72.19,15570,6.13
